Order ID,Purchase Date,Customer ID,Customer Type,Store Location,Product ID,Quantity,Unit Price,Total Price,Discount Applied (%),Discount Amount,Final Price
ORD1000,1/2/2023,CUST1011,Occasional,Frankfurt,PROD15,2,46.95,93.9,0,0,93.9
ORD1001,1/2/2023,CUST1044,Occasional,Berlin,PROD15,5,46.95,234.75,0,0,234.75
ORD1002,1/3/2023,CUST1080,Occasional,Cologne,PROD12,5,29.99,149.95,0,0,149.95
ORD1003,1/4/2023,CUST1050,Occasional,Hamburg,PROD18,1,297.95,297.95,0,0,297.95
ORD1004,1/5/2023,CUST1073,Occasional,Hamburg,PROD18,5,297.95,1489.75,0,0,1489.75
ORD1005,1/6/2023,CUST1000,Occasional,Cologne,PROD15,3,46.95,140.85,0,0,140.85
ORD1006,1/6/2023,CUST1045,Occasional,Berlin,PROD3,3,324.95,974.85,0,0,974.85
ORD1007,1/6/2023,CUST1075,Loyal,Cologne,PROD11,5,155.95,779.75,10,77.98,701.77
ORD1008,1/7/2023,CUST1019,Loyal,Munich,PROD10,2,71.99,143.98,0,0,143.98
ORD1009,1/7/2023,CUST1061,Loyal,Cologne,PROD7,4,21.95,87.8,10,8.78,79.02
ORD1010,1/8/2023,CUST1021,Occasional,Hamburg,PROD5,1,229.95,229.95,0,0,229.95
ORD1011,1/9/2023,CUST1043,Occasional,Hamburg,PROD6,1,56.99,56.99,0,0,56.99
ORD1012,1/10/2023,CUST1033,Occasional,Munich,PROD11,2,155.95,311.9,0,0,311.9
ORD1013,1/11/2023,CUST1018,Occasional,Munich,PROD4,4,137.95,551.8,0,0,551.8
ORD1014,1/12/2023,CUST1090,Occasional,Munich,PROD16,5,116.99,584.95,0,0,584.95
ORD1015,1/12/2023,CUST1049,Occasional,Cologne,PROD1,5,1164.99,5824.95,0,0,5824.95
ORD1016,1/13/2023,CUST1097,Occasional,Berlin,PROD11,1,155.95,155.95,0,0,155.95
ORD1017,1/13/2023,CUST1085,Loyal,Hamburg,PROD7,3,21.95,65.85,5,3.29,62.56
ORD1018,1/13/2023,CUST1089,Occasional,Cologne,PROD3,1,324.95,324.95,0,0,324.95
ORD1019,1/13/2023,CUST1002,Occasional,Frankfurt,PROD3,4,324.95,1299.8,0,0,1299.8
ORD1020,1/14/2023,CUST1029,Occasional,Berlin,PROD5,5,229.95,1149.75,0,0,1149.75
ORD1021,1/15/2023,CUST1069,Occasional,Frankfurt,PROD3,3,324.95,974.85,0,0,974.85
ORD1022,1/15/2023,CUST1037,Occasional,Cologne,PROD16,1,116.99,116.99,0,0,116.99
ORD1023,1/15/2023,CUST1087,Occasional,Cologne,PROD5,5,229.95,1149.75,0,0,1149.75
ORD1024,1/16/2023,CUST1074,Occasional,Hamburg,PROD13,1,39.99,39.99,0,0,39.99
ORD1025,1/17/2023,CUST1028,Occasional,Cologne,PROD3,4,324.95,1299.8,0,0,1299.8
ORD1026,1/18/2023,CUST1068,Occasional,Berlin,PROD1,5,1164.99,5824.95,0,0,5824.95
